aum_key,fund_key,date_key,aum_crore,outstanding_units
1,1,20230102,686.9,10000000.0
2,1,20230103,690.53,10000000.0
3,1,20230104,693.77,10000000.0
4,1,20230105,704.6299999999999,10000000.0
5,1,20230106,698.84,10000000.0
6,1,20230107,698.84,10000000.0
7,1,20230108,698.84,10000000.0
8,1,20230109,693.68,10000000.0
9,1,20230110,688.08,10000000.0
10,1,20230111,678.89,10000000.0
11,1,20230112,652.62,10000000.0
12,1,20230113,662.25,10000000.0
13,1,20230114,662.25,10000000.0
14,1,20230115,662.25,10000000.0
15,1,20230116,670.69,10000000.0
16,1,20230117,655.69,10000000.0
17,1,20230118,651.81,10000000.0
18,1,20230119,644.88,10000000.0
19,1,20230120,638.4000000000001,10000000.0
20,1,20230121,638.4000000000001,10000000.0
21,1,20230122,638.4000000000001,10000000.0
22,1,20230123,618.23,10000000.0
23,1,20230124,612.7,10000000.0
24,1,20230125,618.5,10000000.0
25,1,20230126,642.55,10000000.0
26,1,20230127,646.6700000000001,10000000.0
27,1,20230128,646.6700000000001,10000000.0
28,1,20230129,646.6700000000001,10000000.0
29,1,20230130,648.18,10000000.0
30,1,20230131,643.49,10000000.0
31,1,20230201,638.02,10000000.0
32,1,20230202,647.41,10000000.0
33,1,20230203,650.56,10000000.0
34,1,20230204,650.56,10000000.0
35,1,20230205,650.56,10000000.0
36,1,20230206,644.6800000000001,10000000.0
37,1,20230207,635.12,10000000.0
38,1,20230208,633.9,10000000.0
39,1,20230209,629.14,10000000.0
40,1,20230210,629.4,10000000.0
41,1,20230211,629.4,10000000.0
42,1,20230212,629.4,10000000.0
43,1,20230213,627.5500000000001,10000000.0
44,1,20230214,631.53,10000000.0
45,1,20230215,619.86,10000000.0
46,1,20230216,630.3199999999999,10000000.0
47,1,20230217,656.9,10000000.0
48,1,20230218,656.9,10000000.0
49,1,20230219,656.9,10000000.0
50,1,20230220,668.99,10000000.0
51,1,20230221,671.52,10000000.0
52,1,20230222,680.74,10000000.0
53,1,20230223,670.78,10000000.0
54,1,20230224,655.1800000000001,10000000.0
55,1,20230225,655.1800000000001,10000000.0
56,1,20230226,655.1800000000001,10000000.0
57,1,20230227,663.1100000000001,10000000.0
58,1,20230228,658.0899999999999,10000000.0
59,1,20230301,645.1300000000001,10000000.0
60,1,20230302,636.93,10000000.0
61,1,20230303,626.45,10000000.0
62,1,20230304,626.45,10000000.0
63,1,20230305,626.45,10000000.0
64,1,20230306,628.03,10000000.0
65,1,20230307,633.83,10000000.0
66,1,20230308,642.59,10000000.0
67,1,20230309,651.5300000000001,10000000.0
68,1,20230310,659.23,10000000.0
69,1,20230311,659.23,10000000.0
70,1,20230312,659.23,10000000.0
71,1,20230313,657.51,10000000.0
72,1,20230314,651.6899999999999,10000000.0
73,1,20230315,637.27,10000000.0
74,1,20230316,648.1,10000000.0
75,1,20230317,646.7,10000000.0
76,1,20230318,646.7,10000000.0
77,1,20230319,646.7,10000000.0
78,1,20230320,643.04,10000000.0
79,1,20230321,654.74,10000000.0
80,1,20230322,646.25,10000000.0
81,1,20230323,654.67,10000000.0
82,1,20230324,657.91,10000000.0
83,1,20230325,657.91,10000000.0
84,1,20230326,657.91,10000000.0
85,1,20230327,648.0,10000000.0
86,1,20230328,647.59,10000000.0
87,1,20230329,657.3699999999999,10000000.0
88,1,20230330,665.54,10000000.0
89,1,20230331,680.8,10000000.0
90,1,20230401,680.8,10000000.0
91,1,20230402,680.8,10000000.0
92,1,20230403,684.59,10000000.0
93,1,20230404,719.5600000000001,10000000.0
94,1,20230405,709.99,10000000.0
95,1,20230406,706.1,10000000.0
96,1,20230407,705.8100000000001,10000000.0
97,1,20230408,705.8100000000001,10000000.0
98,1,20230409,705.8100000000001,10000000.0
99,1,20230410,691.1400000000001,10000000.0
100,1,20230411,702.29,10000000.0
101,1,20230412,712.16,10000000.0
102,1,20230413,712.72,10000000.0
103,1,20230414,707.36,10000000.0
104,1,20230415,707.36,10000000.0
105,1,20230416,707.36,10000000.0
106,1,20230417,691.85,10000000.0
107,1,20230418,684.01,10000000.0
108,1,20230419,691.9799999999999,10000000.0
109,1,20230420,690.12,10000000.0
110,1,20230421,686.0500000000001,10000000.0
111,1,20230422,686.0500000000001,10000000.0
112,1,20230423,686.0500000000001,10000000.0
113,1,20230424,691.55,10000000.0
114,1,20230425,703.9100000000001,10000000.0
115,1,20230426,706.9799999999999,10000000.0
116,1,20230427,710.67,10000000.0
117,1,20230428,725.65,10000000.0
118,1,20230429,725.65,10000000.0
119,1,20230430,725.65,10000000.0
120,1,20230501,727.9200000000001,10000000.0
121,1,20230502,724.91,10000000.0
122,1,20230503,732.59,10000000.0
