nav_key,fund_key,date_key,nav
1,1,20230102,68.69
2,1,20230103,69.053
3,1,20230104,69.377
4,1,20230105,70.463
5,1,20230106,69.884
6,1,20230107,69.884
7,1,20230108,69.884
8,1,20230109,69.368
9,1,20230110,68.808
10,1,20230111,67.889
11,1,20230112,65.262
12,1,20230113,66.225
13,1,20230114,66.225
14,1,20230115,66.225
15,1,20230116,67.069
16,1,20230117,65.569
17,1,20230118,65.181
18,1,20230119,64.488
19,1,20230120,63.84
20,1,20230121,63.84
21,1,20230122,63.84
22,1,20230123,61.823
23,1,20230124,61.27
24,1,20230125,61.85
25,1,20230126,64.255
26,1,20230127,64.667
27,1,20230128,64.667
28,1,20230129,64.667
29,1,20230130,64.818
30,1,20230131,64.349
31,1,20230201,63.802
32,1,20230202,64.741
33,1,20230203,65.056
34,1,20230204,65.056
35,1,20230205,65.056
36,1,20230206,64.468
37,1,20230207,63.512
38,1,20230208,63.39
39,1,20230209,62.914
40,1,20230210,62.94
41,1,20230211,62.94
42,1,20230212,62.94
43,1,20230213,62.755
44,1,20230214,63.153
45,1,20230215,61.986
46,1,20230216,63.032
47,1,20230217,65.69
48,1,20230218,65.69
49,1,20230219,65.69
50,1,20230220,66.899
51,1,20230221,67.152
52,1,20230222,68.074
53,1,20230223,67.078
54,1,20230224,65.518
55,1,20230225,65.518
56,1,20230226,65.518
57,1,20230227,66.311
58,1,20230228,65.809
59,1,20230301,64.513
60,1,20230302,63.693
61,1,20230303,62.645
62,1,20230304,62.645
63,1,20230305,62.645
64,1,20230306,62.803
65,1,20230307,63.383
66,1,20230308,64.259
67,1,20230309,65.153
68,1,20230310,65.923
69,1,20230311,65.923
70,1,20230312,65.923
71,1,20230313,65.751
72,1,20230314,65.169
73,1,20230315,63.727
74,1,20230316,64.81
75,1,20230317,64.67
76,1,20230318,64.67
77,1,20230319,64.67
78,1,20230320,64.304
79,1,20230321,65.474
80,1,20230322,64.625
81,1,20230323,65.467
82,1,20230324,65.791
83,1,20230325,65.791
84,1,20230326,65.791
85,1,20230327,64.8
86,1,20230328,64.759
87,1,20230329,65.737
88,1,20230330,66.554
89,1,20230331,68.08
90,1,20230401,68.08
91,1,20230402,68.08
92,1,20230403,68.459
93,1,20230404,71.956
94,1,20230405,70.999
95,1,20230406,70.61
96,1,20230407,70.581
97,1,20230408,70.581
98,1,20230409,70.581
99,1,20230410,69.114
100,1,20230411,70.229
101,1,20230412,71.216
102,1,20230413,71.272
103,1,20230414,70.736
104,1,20230415,70.736
105,1,20230416,70.736
106,1,20230417,69.185
107,1,20230418,68.401
108,1,20230419,69.198
109,1,20230420,69.012
110,1,20230421,68.605
111,1,20230422,68.605
112,1,20230423,68.605
113,1,20230424,69.155
114,1,20230425,70.391
115,1,20230426,70.698
116,1,20230427,71.067
117,1,20230428,72.565
118,1,20230429,72.565
119,1,20230430,72.565
120,1,20230501,72.792
121,1,20230502,72.491
122,1,20230503,73.259
123,1,20230504,73.014
124,1,20230505,72.648
125,1,20230506,72.648
126,1,20230507,72.648
127,1,20230508,74.072
128,1,20230509,73.785
129,1,20230510,70.883
130,1,20230511,71.286
131,1,20230512,70.899
132,1,20230513,70.899
133,1,20230514,70.899
134,1,20230515,70.627
135,1,20230516,71.142
136,1,20230517,71.0
137,1,20230518,71.264
138,1,20230519,69.138
139,1,20230520,69.138
140,1,20230521,69.138
141,1,20230522,68.195
142,1,20230523,69.665
143,1,20230524,69.68
144,1,20230525,67.966
