transaction_key,fund_key,date_key,transaction_type,amount,kyc_status,state,city
1,3,20230101,Redemption,25000.0,Pending,Tamil Nadu,Ahmedabad
2,1,20230101,Lumpsum,25000.0,Verified,Delhi,Delhi
3,2,20230101,Sip,5000.0,Not Verified,Karnataka,Ahmedabad
4,5,20230101,Sip,5000.0,Pending,Gujarat,Ahmedabad
5,5,20230102,Sip,5000.0,Pending,Maharashtra,Kolkata
6,2,20230103,Lumpsum,50000.0,Verified,Tamil Nadu,Bangalore
7,3,20230103,Sip,500.0,Not Verified,Delhi,Kolkata
8,4,20230103,Sip,2000.0,Pending,Gujarat,Kolkata
9,4,20230103,Sip,10000.0,Verified,Delhi,Kolkata
10,5,20230104,Sip,5000.0,Not Verified,Gujarat,Delhi
11,5,20230104,Sip,2000.0,Verified,Maharashtra,Delhi
12,1,20230104,Sip,10000.0,Verified,Delhi,Mumbai
13,5,20230104,Redemption,10000.0,Verified,Gujarat,Kolkata
14,5,20230105,Sip,10000.0,Pending,Delhi,Chennai
15,5,20230105,Lumpsum,25000.0,Verified,Gujarat,Kolkata
16,3,20230105,Sip,500.0,Not Verified,Gujarat,Delhi
17,3,20230105,Lumpsum,100000.0,Verified,West Bengal,Chennai
18,1,20230105,Redemption,1000.0,Pending,Tamil Nadu,Kolkata
19,4,20230105,Lumpsum,10000.0,Verified,Maharashtra,Delhi
20,2,20230106,Sip,10000.0,Not Verified,Delhi,Delhi
21,3,20230106,Sip,2000.0,Pending,Maharashtra,Bangalore
22,4,20230106,Lumpsum,10000.0,Not Verified,Karnataka,Kolkata
23,4,20230106,Sip,1000.0,Pending,Tamil Nadu,Ahmedabad
24,1,20230106,Sip,500.0,Not Verified,Tamil Nadu,Bangalore
25,5,20230106,Sip,500.0,Verified,Gujarat,Chennai
26,2,20230107,Lumpsum,5000.0,Pending,Delhi,Ahmedabad
27,5,20230107,Lumpsum,5000.0,Not Verified,Maharashtra,Ahmedabad
28,1,20230107,Sip,500.0,Verified,Tamil Nadu,Bangalore
29,3,20230107,Lumpsum,25000.0,Verified,Karnataka,Mumbai
30,1,20230107,Sip,2000.0,Verified,West Bengal,Kolkata
31,1,20230107,Sip,500.0,Pending,Karnataka,Delhi
32,3,20230107,Redemption,25000.0,Verified,Karnataka,Ahmedabad
33,2,20230107,Sip,1000.0,Verified,West Bengal,Kolkata
34,2,20230108,Sip,500.0,Verified,West Bengal,Chennai
35,1,20230108,Sip,10000.0,Pending,Karnataka,Mumbai
36,1,20230108,Sip,2000.0,Verified,Tamil Nadu,Kolkata
37,4,20230108,Sip,5000.0,Pending,Karnataka,Delhi
38,5,20230108,Sip,2000.0,Pending,Karnataka,Chennai
39,2,20230108,Sip,5000.0,Not Verified,Delhi,Ahmedabad
40,4,20230108,Lumpsum,25000.0,Not Verified,Delhi,Bangalore
41,1,20230108,Lumpsum,25000.0,Not Verified,Maharashtra,Delhi
42,4,20230109,Sip,2000.0,Verified,Maharashtra,Chennai
43,1,20230109,Sip,5000.0,Not Verified,Karnataka,Ahmedabad
44,4,20230109,Lumpsum,100000.0,Not Verified,West Bengal,Kolkata
45,3,20230109,Sip,1000.0,Verified,Maharashtra,Mumbai
46,4,20230110,Redemption,5000.0,Pending,Delhi,Bangalore
47,2,20230110,Sip,10000.0,Pending,Gujarat,Mumbai
48,5,20230110,Sip,2000.0,Verified,West Bengal,Ahmedabad
49,5,20230110,Sip,1000.0,Pending,West Bengal,Bangalore
50,3,20230110,Redemption,25000.0,Not Verified,Karnataka,Mumbai
51,4,20230110,Sip,2000.0,Pending,Gujarat,Chennai
52,2,20230110,Sip,5000.0,Pending,West Bengal,Mumbai
53,2,20230110,Sip,500.0,Pending,Tamil Nadu,Ahmedabad
54,4,20230110,Sip,5000.0,Pending,Maharashtra,Delhi
55,4,20230111,Lumpsum,50000.0,Not Verified,West Bengal,Kolkata
56,1,20230111,Lumpsum,10000.0,Not Verified,Tamil Nadu,Chennai
57,3,20230111,Lumpsum,100000.0,Not Verified,Delhi,Chennai
58,1,20230111,Lumpsum,5000.0,Verified,West Bengal,Mumbai
59,3,20230111,Lumpsum,10000.0,Verified,Delhi,Mumbai
60,1,20230111,Sip,10000.0,Pending,Delhi,Kolkata
61,3,20230112,Sip,5000.0,Not Verified,Tamil Nadu,Chennai
62,3,20230112,Lumpsum,25000.0,Verified,West Bengal,Ahmedabad
63,3,20230112,Sip,10000.0,Pending,Karnataka,Bangalore
64,3,20230112,Sip,500.0,Verified,Delhi,Ahmedabad
65,4,20230112,Lumpsum,5000.0,Verified,West Bengal,Chennai
66,1,20230112,Lumpsum,100000.0,Verified,West Bengal,Delhi
67,3,20230113,Sip,500.0,Verified,Delhi,Ahmedabad
68,2,20230113,Sip,1000.0,Not Verified,Tamil Nadu,Chennai
69,4,20230113,Sip,5000.0,Verified,Delhi,Delhi
70,3,20230114,Sip,5000.0,Verified,Delhi,Bangalore
71,4,20230114,Lumpsum,100000.0,Verified,Delhi,Chennai
72,3,20230115,Sip,1000.0,Not Verified,Tamil Nadu,Bangalore
73,1,20230115,Sip,10000.0,Not Verified,Tamil Nadu,Ahmedabad
74,1,20230115,Lumpsum,100000.0,Pending,West Bengal,Bangalore
75,1,20230115,Redemption,5000.0,Verified,Tamil Nadu,Delhi
76,1,20230116,Redemption,10000.0,Pending,West Bengal,Kolkata
77,5,20230116,Lumpsum,100000.0,Verified,Tamil Nadu,Mumbai
78,4,20230116,Redemption,10000.0,Not Verified,Gujarat,Delhi
79,1,20230116,Sip,10000.0,Not Verified,Karnataka,Delhi
80,5,20230116,Lumpsum,5000.0,Not Verified,Tamil Nadu,Ahmedabad
81,1,20230117,Redemption,10000.0,Pending,Karnataka,Mumbai
82,3,20230118,Sip,1000.0,Not Verified,Delhi,Delhi
83,5,20230118,Sip,500.0,Verified,Delhi,Ahmedabad
84,2,20230118,Lumpsum,5000.0,Pending,Maharashtra,Bangalore
85,3,20230118,Redemption,25000.0,Pending,Gujarat,Bangalore
86,1,20230119,Lumpsum,10000.0,Pending,Gujarat,Delhi
87,2,20230119,Sip,5000.0,Verified,West Bengal,Chennai
88,1,20230119,Sip,2000.0,Pending,Tamil Nadu,Bangalore
89,3,20230119,Sip,5000.0,Not Verified,Maharashtra,Bangalore
90,1,20230119,Sip,500.0,Verified,Gujarat,Bangalore
91,4,20230119,Sip,1000.0,Verified,Karnataka,Bangalore
92,1,20230120,Sip,10000.0,Not Verified,West Bengal,Kolkata
93,2,20230120,Sip,10000.0,Verified,West Bengal,Delhi
94,5,20230121,Sip,500.0,Verified,Gujarat,Mumbai
95,4,20230121,Sip,500.0,Verified,Delhi,Ahmedabad
96,1,20230121,Sip,1000.0,Not Verified,Maharashtra,Chennai
97,3,20230121,Sip,10000.0,Not Verified,Delhi,Bangalore
98,2,20230121,Sip,500.0,Not Verified,Tamil Nadu,Bangalore
99,5,20230121,Sip,2000.0,Verified,Tamil Nadu,Ahmedabad
100,2,20230122,Sip,10000.0,Verified,Karnataka,Mumbai
101,3,20230122,Sip,500.0,Pending,Gujarat,Delhi
102,1,20230122,Sip,2000.0,Verified,Tamil Nadu,Bangalore
103,4,20230122,Sip,500.0,Pending,Delhi,Bangalore
104,4,20230123,Lumpsum,10000.0,Verified,Delhi,Ahmedabad
105,1,20230123,Lumpsum,100000.0,Pending,Karnataka,Ahmedabad
106,4,20230123,Sip,1000.0,Pending,Karnataka,Delhi
