amfi_code,kyc_status,transaction_type,amount,state,city,date
100003,Pending,Redemption,25000,Tamil Nadu,Ahmedabad,2023-01-01
100001,Verified,Lumpsum,25000,Delhi,Delhi,2023-01-01
100002,Not Verified,Sip,5000,Karnataka,Ahmedabad,2023-01-01
100005,Pending,Sip,5000,Gujarat,Ahmedabad,2023-01-01
100005,Pending,Sip,5000,Maharashtra,Kolkata,2023-01-02
100002,Verified,Lumpsum,50000,Tamil Nadu,Bangalore,2023-01-03
100003,Not Verified,Sip,500,Delhi,Kolkata,2023-01-03
100004,Pending,Sip,2000,Gujarat,Kolkata,2023-01-03
100004,Verified,Sip,10000,Delhi,Kolkata,2023-01-03
100005,Not Verified,Sip,5000,Gujarat,Delhi,2023-01-04
100005,Verified,Sip,2000,Maharashtra,Delhi,2023-01-04
100001,Verified,Sip,10000,Delhi,Mumbai,2023-01-04
100005,Verified,Redemption,10000,Gujarat,Kolkata,2023-01-04
100005,Pending,Sip,10000,Delhi,Chennai,2023-01-05
100005,Verified,Lumpsum,25000,Gujarat,Kolkata,2023-01-05
100003,Not Verified,Sip,500,Gujarat,Delhi,2023-01-05
100003,Verified,Lumpsum,100000,West Bengal,Chennai,2023-01-05
100001,Pending,Redemption,1000,Tamil Nadu,Kolkata,2023-01-05
100004,Verified,Lumpsum,10000,Maharashtra,Delhi,2023-01-05
100002,Not Verified,Sip,10000,Delhi,Delhi,2023-01-06
100003,Pending,Sip,2000,Maharashtra,Bangalore,2023-01-06
100004,Not Verified,Lumpsum,10000,Karnataka,Kolkata,2023-01-06
100004,Pending,Sip,1000,Tamil Nadu,Ahmedabad,2023-01-06
100001,Not Verified,Sip,500,Tamil Nadu,Bangalore,2023-01-06
100005,Verified,Sip,500,Gujarat,Chennai,2023-01-06
100002,Pending,Lumpsum,5000,Delhi,Ahmedabad,2023-01-07
100005,Not Verified,Lumpsum,5000,Maharashtra,Ahmedabad,2023-01-07
100001,Verified,Sip,500,Tamil Nadu,Bangalore,2023-01-07
100003,Verified,Lumpsum,25000,Karnataka,Mumbai,2023-01-07
100001,Verified,Sip,2000,West Bengal,Kolkata,2023-01-07
100001,Pending,Sip,500,Karnataka,Delhi,2023-01-07
100003,Verified,Redemption,25000,Karnataka,Ahmedabad,2023-01-07
100002,Verified,Sip,1000,West Bengal,Kolkata,2023-01-07
100002,Verified,Sip,500,West Bengal,Chennai,2023-01-08
100001,Pending,Sip,10000,Karnataka,Mumbai,2023-01-08
100001,Verified,Sip,2000,Tamil Nadu,Kolkata,2023-01-08
100004,Pending,Sip,5000,Karnataka,Delhi,2023-01-08
100005,Pending,Sip,2000,Karnataka,Chennai,2023-01-08
100002,Not Verified,Sip,5000,Delhi,Ahmedabad,2023-01-08
100004,Not Verified,Lumpsum,25000,Delhi,Bangalore,2023-01-08
100001,Not Verified,Lumpsum,25000,Maharashtra,Delhi,2023-01-08
100004,Verified,Sip,2000,Maharashtra,Chennai,2023-01-09
100001,Not Verified,Sip,5000,Karnataka,Ahmedabad,2023-01-09
100004,Not Verified,Lumpsum,100000,West Bengal,Kolkata,2023-01-09
100003,Verified,Sip,1000,Maharashtra,Mumbai,2023-01-09
100004,Pending,Redemption,5000,Delhi,Bangalore,2023-01-10
100002,Pending,Sip,10000,Gujarat,Mumbai,2023-01-10
100005,Verified,Sip,2000,West Bengal,Ahmedabad,2023-01-10
100005,Pending,Sip,1000,West Bengal,Bangalore,2023-01-10
100003,Not Verified,Redemption,25000,Karnataka,Mumbai,2023-01-10
100004,Pending,Sip,2000,Gujarat,Chennai,2023-01-10
100002,Pending,Sip,5000,West Bengal,Mumbai,2023-01-10
100002,Pending,Sip,500,Tamil Nadu,Ahmedabad,2023-01-10
100004,Pending,Sip,5000,Maharashtra,Delhi,2023-01-10
100004,Not Verified,Lumpsum,50000,West Bengal,Kolkata,2023-01-11
100001,Not Verified,Lumpsum,10000,Tamil Nadu,Chennai,2023-01-11
100003,Not Verified,Lumpsum,100000,Delhi,Chennai,2023-01-11
100001,Verified,Lumpsum,5000,West Bengal,Mumbai,2023-01-11
