date,amfi_code,scheme_name,nav
2023-01-02,100001,HDFC Large Cap Fund,68.69
2023-01-03,100001,HDFC Large Cap Fund,69.053
2023-01-04,100001,HDFC Large Cap Fund,69.377
2023-01-05,100001,HDFC Large Cap Fund,70.463
2023-01-06,100001,HDFC Large Cap Fund,69.884
2023-01-07,100001,HDFC Large Cap Fund,69.884
2023-01-08,100001,HDFC Large Cap Fund,69.884
2023-01-09,100001,HDFC Large Cap Fund,69.368
2023-01-10,100001,HDFC Large Cap Fund,68.808
2023-01-11,100001,HDFC Large Cap Fund,67.889
2023-01-12,100001,HDFC Large Cap Fund,65.262
2023-01-13,100001,HDFC Large Cap Fund,66.225
2023-01-14,100001,HDFC Large Cap Fund,66.225
2023-01-15,100001,HDFC Large Cap Fund,66.225
2023-01-16,100001,HDFC Large Cap Fund,67.069
2023-01-17,100001,HDFC Large Cap Fund,65.569
2023-01-18,100001,HDFC Large Cap Fund,65.181
2023-01-19,100001,HDFC Large Cap Fund,64.488
2023-01-20,100001,HDFC Large Cap Fund,63.84
2023-01-21,100001,HDFC Large Cap Fund,63.84
2023-01-22,100001,HDFC Large Cap Fund,63.84
2023-01-23,100001,HDFC Large Cap Fund,61.823
2023-01-24,100001,HDFC Large Cap Fund,61.27
2023-01-25,100001,HDFC Large Cap Fund,61.85
2023-01-26,100001,HDFC Large Cap Fund,64.255
2023-01-27,100001,HDFC Large Cap Fund,64.667
2023-01-28,100001,HDFC Large Cap Fund,64.667
2023-01-29,100001,HDFC Large Cap Fund,64.667
2023-01-30,100001,HDFC Large Cap Fund,64.818
2023-01-31,100001,HDFC Large Cap Fund,64.349
2023-02-01,100001,HDFC Large Cap Fund,63.802
2023-02-02,100001,HDFC Large Cap Fund,64.741
2023-02-03,100001,HDFC Large Cap Fund,65.056
2023-02-04,100001,HDFC Large Cap Fund,65.056
2023-02-05,100001,HDFC Large Cap Fund,65.056
2023-02-06,100001,HDFC Large Cap Fund,64.468
2023-02-07,100001,HDFC Large Cap Fund,63.512
2023-02-08,100001,HDFC Large Cap Fund,63.39
2023-02-09,100001,HDFC Large Cap Fund,62.914
2023-02-10,100001,HDFC Large Cap Fund,62.94
