scheme_code,scheme_name,fund_house,date,nav
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-01,79.191
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-02,78.305
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-03,76.229
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-04,74.405
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-05,74.474
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-08,74.779
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-09,73.786
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-10,74.512
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-11,72.692
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-12,72.634
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-15,71.341
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-16,70.661
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-17,70.726
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-18,69.833
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-19,69.445
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-22,70.515
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-23,69.922
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-24,70.818
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-25,69.642
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-26,70.211
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-29,71.761
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-30,69.163
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-01-31,68.354
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-01,68.962
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-02,68.767
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-05,69.164
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-06,68.554
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-07,68.657
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-08,68.511
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-09,69.735
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-12,70.016
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-13,70.385
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-14,69.966
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-15,69.47
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-16,69.034
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-19,69.458
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-20,69.035
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-21,69.349
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-22,71.556
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-23,72.512
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-26,72.173
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-27,73.5
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-28,73.066
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-02-29,70.88
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-01,69.83
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-04,67.911
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-05,67.568
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-06,67.6
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-07,69.335
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-08,69.69
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-11,69.475
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-12,70.359
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-13,68.077
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-14,68.332
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-15,69.141
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-18,67.638
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-19,68.822
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-20,69.186
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-21,68.77
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-22,69.44
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-25,71.86
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-26,72.071
MF102,SBI Bluechip Fund,SBI Mutual Fund,2024-03-27,72.354
