scheme_code,scheme_name,fund_house,date,nav
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-01,32.321
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-02,31.572
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-03,32.286
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-04,32.968
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-05,32.666
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-08,32.867
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-09,33.118
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-10,33.255
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-11,32.988
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-12,32.664
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-15,32.658
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-16,33.244
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-17,33.523
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-18,33.344
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-19,33.739
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-22,32.334
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-23,32.903
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-24,32.061
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-25,31.894
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-26,31.369
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-29,30.772
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-30,31.319
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-01-31,31.106
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-01,31.274
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-02,31.259
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-05,31.489
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-06,31.532
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-07,30.937
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-08,31.409
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-09,31.184
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-12,30.47
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-13,30.281
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-14,30.977
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-15,31.381
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-16,31.223
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-19,31.066
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-20,30.923
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-21,31.908
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-22,32.097
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-23,32.312
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-26,32.821
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-27,32.946
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-28,32.825
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-02-29,32.735
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-01,32.706
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-04,32.694
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-05,33.06
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-06,33.092
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-07,33.464
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-08,33.431
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-11,33.477
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-12,32.495
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-13,32.951
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-14,33.129
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-15,33.636
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-18,32.212
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-19,33.244
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-20,33.181
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-21,33.744
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-22,33.228
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-25,33.542
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-26,33.023
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-27,32.722
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-28,33.681
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-03-29,33.592
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-01,33.708
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-02,34.158
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-03,34.42
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-04,34.505
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-05,34.701
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-08,35.982
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-09,35.958
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-10,36.074
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-11,36.654
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-12,37.275
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-15,37.952
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-16,38.325
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-17,37.681
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-18,38.623
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-19,37.972
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-22,38.153
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-23,37.731
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-24,37.702
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-25,37.896
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-26,38.087
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-29,38.337
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-04-30,39.284
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-01,39.56
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-02,39.423
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-03,40.005
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-06,40.734
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-07,39.998
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-08,40.366
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-09,40.801
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-10,40.628
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-13,41.483
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-14,41.398
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-15,41.485
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-16,41.385
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-17,41.403
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-20,40.736
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-21,39.874
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-22,40.847
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-23,40.339
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-24,39.752
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-27,38.496
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-28,38.137
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-29,37.395
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-30,38.335
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-05-31,38.928
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-03,38.536
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-04,39.868
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-05,40.467
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-06,40.279
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-07,38.804
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-10,40.169
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-11,39.348
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-12,38.397
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-13,38.998
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-14,40.46
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-17,41.317
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-18,41.676
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-19,42.058
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-20,42.608
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-21,43.105
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-24,43.296
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-25,43.372
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-26,43.34
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-27,42.861
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-06-28,42.69
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-07-01,41.628
MF103,ICICI Balanced Advantage Fund,ICICI Prudential,2024-07-02,41.574
