scheme_code,scheme_name,fund_house,date,nav
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-01,22.128
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-02,22.398
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-03,21.985
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-04,22.086
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-05,21.646
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-08,21.802
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-09,21.795
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-10,21.277
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-11,21.657
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-12,21.424
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-15,21.169
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-16,21.237
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-17,21.61
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-18,21.288
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-19,21.312
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-22,21.454
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-23,21.682
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-24,21.744
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-25,21.629
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-26,21.366
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-29,21.398
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-30,21.061
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-01-31,20.162
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-01,20.299
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-02,20.58
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-05,19.867
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-06,19.573
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-07,19.759
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-08,20.383
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-09,20.393
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-12,20.176
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-13,20.124
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-14,20.548
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-15,20.354
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-16,20.115
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-19,19.974
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-20,19.694
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-21,19.735
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-22,20.225
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-23,20.328
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-26,20.255
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-27,20.171
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-28,19.707
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-02-29,19.974
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-03-01,19.955
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-03-04,19.905
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-03-05,20.885
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-03-06,20.983
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-03-07,20.752
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-03-08,20.624
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-03-11,20.987
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-03-12,21.026
MF104,Axis Small Cap Fund,Axis Mutual Fund,2024-03-13,20.582
