scheme_code,scheme_name,fund_house,date,nav
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-01,56.334
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-02,55.391
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-03,56.273
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-04,56.22
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-05,56.8
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-08,55.905
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-09,54.628
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-10,55.313
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-11,55.638
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-12,54.901
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-15,54.2
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-16,55.134
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-17,54.17
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-18,55.532
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-19,54.798
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-22,55.337
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-23,55.075
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-24,55.587
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-25,55.146
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-26,55.023
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-29,55.068
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-30,54.257
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-01-31,54.874
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-01,54.464
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-02,54.289
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-05,53.496
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-06,51.489
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-07,51.352
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-08,53.255
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-09,53.896
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-12,53.891
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-13,53.69
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-14,53.719
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-15,54.172
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-16,53.232
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-19,54.14
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-20,54.735
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-21,55.339
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-22,55.715
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-23,55.743
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-26,56.319
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-27,56.833
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-28,56.543
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-02-29,56.07
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-03-01,56.167
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-03-04,57.499
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-03-05,56.451
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-03-06,55.233
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-03-07,55.381
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-03-08,55.434
MF105,Kotak Equity Opportunities,Kotak Mahindra,2024-03-11,55.59
